Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
History,PYQ mix,Which city is capital of India?,delhi,Jaipur,Raipur,Sikar,Delhi
History,PYQ mix,वायसराय कार्यकारिणी परिषद का पहला वित्त सदस्य था-,हनेरी लोरेन्स,एच. एच रिजले,जेम्स विल्सन,हेनरी कम्पबैल,जेम्स विल्सन
History,PYQ mix,इवान का मुगल वास्तुकला शब्दावली में अर्थ है-,एक मुख्य प्रवेश द्वार अथवा उच्च प्रवेश द्वार,"तहखाने का अवतल तत्व, जो प्रायः मेहराबदार होता है",कोनों सहित वर्गाकार अथवा आयताकार के रूप में सविन्यास,किसी भी आकार और योजना की स्तम्भीय रचना,किसी भी आकार और योजना की स्तम्भीय रचना
History,PYQ mix,निम्लिखित में से किस शाहजादे/अमीर के पुस्तकालय में सोलहवीं सदी के उत्तरार्द्ध में मुगल शैली में शाहनामा की सचित्र प्रति तैयार करवाई गई-,शाहजादा मुराद,शाहजादा खुर्रम,ख्वाजा अब्दुल माजिल आसफ खान,अब्दुल रहीम खान-ए-खाना,अब्दुल रहीम खान-ए-खाना
History,PYQ mix,चित्रकला को संरक्षण दिया-,हुमायूँ ने,हुमायूँ तथा अकबर ने,"हुमायूँ, अकबर तथा जहांगीर ने","हुमायूं, अकबर, जहांगीर तथा औरंगजेब ने","हुमायूँ, अकबर तथा जहांगीर ने"
History,PYQ mix,जहांगीर के दरबार के निम्नलिखित चित्रकारों में से कौन प्राकृतिक विषयों के चित्रण के लिए प्रसिद्ध था-,बिसन दास,अब्दुल हसन,उस्ताद मंसूर,आगा रजा,उस्ताद मंसूर
History,PYQ mix,मुगलकाल में प्रचलित 'शाहरूखी' सिक्का क्या था-,सोने का सिक्का,चाँदी का सिक्का,ताम्बे का सिक्का,इनमें से कोई नहीं,चाँदी का सिक्का
History,PYQ mix,अकबर के दरबार में निम्नलिखित चित्रकारों में से कौन कहार का पुत्र था-,दसवंत,बसावन,सैयद अली,मिस्किन,दसवंत
History,PYQ mix,भारतीय-इस्लामिक वास्तुकला में 'दोहरे गुम्बद' का प्रयोग क्यों किया गया जाता था-,भवन की मजबूती के लिए,भवन के अंदर ठण्डक बनाये रखने के लिए,भवन की ऊचाई बनाये रखने के लिए,सौन्दर्य बनाए रखने के लिए,भवन के अंदर ठण्डक बनाये रखने के लिए
History,PYQ mix,पुराने किले के सामने दिल्ली में खैरूल मंजिल नाम की मस्जिद का निर्माण किसने करवाया था-,हमीदा बानो बेगम,सलीमा बेगम,जीजी अंगा,माहम अंगा,माहम अंगा
